id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-150585,2025-01-28,000001,Vente,242500,5,,RUE CANTEMERLE,1500,33000,33063,Bordeaux,33,,,33063000PM0273,,,4,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.574819,44.852829
2025-150585,2025-01-28,000001,Vente,242500,5,,RUE CANTEMERLE,1500,33000,33063,Bordeaux,33,,,33063000PM0273,,,14,57.08,,,,,,,,,1,2,Appartement,56,3,,,,,,-0.574819,44.852829
2025-150587,2025-01-08,000002,Vente,820000,278,,RUE SAINTE CATHERINE,8390,33000,33063,Bordeaux,33,,,33063000DR0020,,,2,,4,,,,,,,,2,3,Dépendance,,0,,,,,,-0.572563,44.831661
2025-150587,2025-01-08,000002,Vente,820000,278,,RUE SAINTE CATHERINE,8390,33000,33063,Bordeaux,33,,,33063000DR0020,,,1,,5,,6,,,,,,3,3,Dépendance,,0,,,,,,-0.572563,44.831661
2025-150587,2025-01-08,000002,Vente,820000,278,,RUE SAINTE CATHERINE,8390,33000,33063,Bordeaux,33,,,33063000DR0020,,,1,,5,,6,,,,,,3,3,Dépendance,,0,,,,,,-0.572563,44.831661
2025-150587,2025-01-08,000002,Vente,820000,278,,RUE SAINTE CATHERINE,8390,33000,33063,Bordeaux,33,,,33063000DR0020,,,1,,5,,6,,,,,,3,2,Appartement,119,5,,,,,,-0.572563,44.831661
2025-150587,2025-01-08,000002,Vente,820000,278,,RUE SAINTE CATHERINE,8390,33000,33063,Bordeaux,33,,,33063000DR0020,,,2,,4,,,,,,,,2,2,Appartement,80,4,,,,,,-0.572563,44.831661
2025-150587,2025-01-08,000002,Vente,820000,278,,RUE SAINTE CATHERINE,8390,33000,33063,Bordeaux,33,,,33063000DR0020,,,3,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,105,0,,,,,,-0.572563,44.831661
2025-150590,2025-01-31,000001,Vente,410000,39,,RUE PAUL LOUIS LANDE,7040,33000,33063,Bordeaux,33,,,33063000HC0066,,,,,,,,,,,,,0,2,Appartement,35,2,S,sols,,,142,-0.576237,44.833809
2025-150590,2025-01-31,000001,Vente,410000,39,,RUE PAUL LOUIS LANDE,7040,33000,33063,Bordeaux,33,,,33063000HC0066,,,,,,,,,,,,,0,2,Appartement,32,1,S,sols,,,142,-0.576237,44.833809
2025-150590,2025-01-31,000001,Vente,410000,39,,RUE PAUL LOUIS LANDE,7040,33000,33063,Bordeaux,33,,,33063000HC0066,,,,,,,,,,,,,0,2,Appartement,32,1,S,sols,,,142,-0.576237,44.833809
