id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,128,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,64,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,132,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,18,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,128,,,,,,,,,,1,2,Appartement,104,4,,,,,,-0.615116,44.850132
2025-149084,2025-01-07,000001,Vente,260000,53,,RUE LACORNEE,4975,33000,33063,Bordeaux,33,,,33063000HK0151,,,3,,,,,,,,,,1,2,Appartement,65,3,,,,,,-0.582161,44.833151
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,101,-0.569844,44.854211
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,101,-0.569844,44.854211
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,101,-0.569844,44.854211
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,101,-0.569844,44.854211
2025-149088,2025-01-06,000001,Vente,190000,140,,CRS DE LA MARNE,6065,33800,33063,Bordeaux,33,,,33063000DH0133,,,7,75.6,,,,,,,,,1,2,Appartement,65,3,,,,,,-0.564342,44.829171
2025-149090,2025-01-06,000001,Vente,145010,44,,RUE ARNAUD MIQUEU,0405,33000,33063,Bordeaux,33,,,33063000KI0106,,,4,30.95,,,,,,,,,1,2,Appartement,32,1,,,,,,-0.572976,44.838174
2025-149092,2025-01-08,000001,Vente,180000,81,,AV DE LABARDE,4915,33300,33063,Bordeaux,33,,,33063000SP0220,,,2,,,,,,,,,,1,2,Appartement,120,4,,,,,,-0.552041,44.878833
2025-149092,2025-01-08,000001,Vente,180000,81,,AV DE LABARDE,4915,33300,33063,Bordeaux,33,,,33063000SP0220,,,4,,5,,,,,,,,2,4,Local industriel. commercial ou assimilé,240,0,,,,,,-0.552041,44.878833
2025-149102,2025-01-09,000001,Vente,480000,141,,RUE MAC CARTHY,5785,33200,33063,Bordeaux,33,,,33063000NM0026,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,102,0,S,sols,,,102,-0.621192,44.839434
2025-149105,2025-01-09,000001,Vente,370000,22,,RUE CHABRY,1795,33000,33063,Bordeaux,33,,,33063000EV0189,,,,,,,,,,,,,0,1,Maison,65,3,S,sols,,,119,-0.587493,44.827228
2025-149106,2025-01-10,000001,Vente,296850,8,,RUE SAINTE GENEVIEVE,8430,33800,33063,Bordeaux,33,,,33063000EK0167,,,,,,,,,,,,,0,1,Maison,72,3,S,sols,,,81,-0.577563,44.821744
2025-149107,2025-01-09,000001,Vente,250000,115,,RUE MAC CARTHY,5785,33200,33063,Bordeaux,33,,,33063000VL0063,,,,,,,,,,,,,0,1,Maison,59,3,S,sols,,,333,-0.620592,44.840915
2025-149116,2025-01-08,000001,Vente,345000,15,,RUE TASTET,8830,33000,33063,Bordeaux,33,,,33063000HL0033,,,77,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.581929,44.835366
2025-149116,2025-01-08,000001,Vente,345000,15,,RUE TASTET,8830,33000,33063,Bordeaux,33,,,33063000HL0033,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.581929,44.835366
2025-149116,2025-01-08,000001,Vente,345000,15,,RUE TASTET,8830,33000,33063,Bordeaux,33,,,33063000HL0033,,,8,,,,,,,,,,1,2,Appartement,69,3,,,,,,-0.581929,44.835366
2025-149119,2025-01-13,000001,Vente,226000,3,,RUE MONTESQUIEU,6510,33000,33063,Bordeaux,33,,,33063000KO0213,,,18,,,,,,,,,,1,2,Appartement,42,2,,,,,,-0.578265,44.842918
2025-149123,2025-01-09,000001,Vente,18000,94,,QUAI DES CHARTRONS,2000,33300,33063,Bordeaux,33,,,33063000RH0277,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.566254,44.854909
2025-149125,2025-01-07,000001,Vente,341232,1,,RUE THEODORE DUCOS,8900,33000,33063,Bordeaux,33,,,33063000HA0005,,,8,,,,,,,,,,1,2,Appartement,76,3,,,,,,-0.584141,44.830831
2025-149126,2025-01-03,000001,Vente,620000,1,,RUE BLANC DUTROUILH,0960,33000,33063,Bordeaux,33,,,33063000PE0101,,,12,11.02,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.575516,44.846194
2025-149126,2025-01-03,000001,Vente,620000,1,,RUE BLANC DUTROUILH,0960,33000,33063,Bordeaux,33,,,33063000PE0101,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.575516,44.846194
2025-149126,2025-01-03,000001,Vente,620000,1,,RUE BLANC DUTROUILH,0960,33000,33063,Bordeaux,33,,,33063000PE0101,,,11,143.21,,,,,,,,,1,2,Appartement,132,5,,,,,,-0.575516,44.846194
2025-149133,2025-01-08,000001,Vente,15000,28,,RUE LAPORTE,5196,33200,33063,Bordeaux,33,,,33063000VH0023,,,1037,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.620466,44.84875
2025-149134,2025-01-08,000001,Vente,32000,68,,RUE LEYTEIRE,5495,33000,33063,Bordeaux,33,,,33063000DR0251,,,4,20.01,,,,,,,,,1,4,Local industriel. commercial ou assimilé,21,0,,,,,,-0.569559,44.832227
2025-149140,2025-01-07,000001,Vente,233500,20,,CRS DUPRE ST MAUR,2960,33300,33063,Bordeaux,33,,,33063000SD0037,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.554841,44.868349
2025-149140,2025-01-07,000001,Vente,233500,10,,CRS DUPRE ST MAUR,2960,33300,33063,Bordeaux,33,,,33063000SD0037,,,102,61.31,,,,,,,,,1,2,Appartement,61,3,,,,,,-0.554841,44.868349
2025-149142,2025-01-10,000001,Vente,195000,11,,RUE SAUTEYRON,8565,33000,33063,Bordeaux,33,,,33063000DU0314,,,5,34.8,,,,,,,,,1,2,Appartement,28,2,,,,,,-0.576196,44.830222
2025-149147,2025-01-13,000001,Vente,349400,80,,RUE DE LACANAU CAUD,4956,33200,33063,Bordeaux,33,,,33063000VH0024,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.61946,44.848487
2025-149147,2025-01-13,000001,Vente,349400,80,,RUE DE LACANAU CAUD,4956,33200,33063,Bordeaux,33,,,33063000VH0024,,,66,,67,,,,,,,,2,2,Appartement,104,5,,,,,,-0.61946,44.848487
2025-149152,2025-01-10,000001,Vente,102000,56,,CRS DE LA MARNE,6065,33800,33063,Bordeaux,33,,,33063000DC0092,,,5,34.08,,,,,,,,,1,2,Appartement,30,2,,,,,,-0.568774,44.830124
2025-149161,2025-01-03,000001,Vente,100000,210,,CRS DE LA MARNE,6065,33800,33063,Bordeaux,33,,,33063000DK0178,,,15,19.39,,,,,,,,,1,2,Appartement,18,1,,,,,,-0.558298,44.828206
2025-149161,2025-01-03,000001,Vente,100000,210,,CRS DE LA MARNE,6065,33800,33063,Bordeaux,33,,,33063000DK0178,,,18,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.558298,44.828206
2025-149163,2025-01-07,000001,Vente,254000,32,,RUE MARCELIN BERTHELOT,5945,33200,33063,Bordeaux,33,,,33063000NH0065,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.613167,44.84445
2025-149163,2025-01-07,000001,Vente,254000,32,,RUE MARCELIN BERTHELOT,5945,33200,33063,Bordeaux,33,,,33063000NH0065,,,126,,,,,,,,,,1,2,Appartement,63,3,,,,,,-0.613167,44.84445
2025-149171,2025-01-15,000001,Vente,155000,40,,RUE DUBOURDIEU,2840,33800,33063,Bordeaux,33,,,33063000ER0047,,,28,41.1,,,,,,,,,1,2,Appartement,41,2,,,,,,-0.579774,44.821796
2025-149172,2025-01-10,000001,Vente,340000,58,,RUE COMMANDANT CHARCOT CAUD,2206,33200,33063,Bordeaux,33,,,33063000YE0016,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,218,-0.621629,44.864459
2025-149176,2025-01-14,000001,Vente,99400,37,,PL MARTYRS RESISTANCE,6120,33000,33063,Bordeaux,33,,,33063000LA0224,,,7,,,,,,,,,,1,2,Appartement,162,5,,,,,,-0.585217,44.841849
2025-149176,2025-01-14,000001,Vente,99400,37,,PL MARTYRS RESISTANCE,6120,33000,33063,Bordeaux,33,,,33063000LA0224,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.585217,44.841849
2025-149176,2025-01-14,000001,Vente,99400,37,,PL MARTYRS RESISTANCE,6120,33000,33063,Bordeaux,33,,,33063000LA0224,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.585217,44.841849
2025-149178,2025-01-06,000001,Vente,3000,15,,RUE JUDAIQUE,4810,33000,33063,Bordeaux,33,,,33063000KX0084,,,270,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.581943,44.84203
2025-149179,2025-01-14,000001,Vente,432000,71,,RUE DE LYON,5770,33000,33063,Bordeaux,33,,,33063000LN0139,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.592106,44.848153
2025-149179,2025-01-14,000001,Vente,432000,71,,RUE DE LYON,5770,33000,33063,Bordeaux,33,,,33063000LN0139,,,12,,13,,15,,,,,,3,2,Appartement,78,4,,,,,,-0.592106,44.848153
2025-149179,2025-01-14,000001,Vente,432000,71,,RUE DE LYON,5770,33000,33063,Bordeaux,33,,,33063000LN0139,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.592106,44.848153
2025-149181,2025-01-10,000001,Vente,320870,195,,RUE DU JARDIN PUBLIC,4545,33300,33063,Bordeaux,33,,,33063000RC0108,,,150,,42,82.67,,,,,,,2,3,Dépendance,,0,,,,,,-0.57308,44.857413
2025-149181,2025-01-10,000001,Vente,320870,195,,RUE DU JARDIN PUBLIC,4545,33300,33063,Bordeaux,33,,,33063000RC0108,,,150,,42,82.67,,,,,,,2,2,Appartement,77,5,,,,,,-0.57308,44.857413
2025-149182,2025-01-14,000001,Vente,718000,75,,RUE GEORGES MANDEL,4010,33000,33063,Bordeaux,33,,,33063000LD0191,,,,,,,,,,,,,0,1,Maison,150,6,S,sols,,,166,-0.590706,44.84275
2025-149186,2025-01-08,000001,Vente,119000,97,,CRS DE LA SOMME,8705,33800,33063,Bordeaux,33,,,33063000EC0142,,,1,26.07,,,,,,,,,1,2,Appartement,26,1,,,,,,-0.572776,44.826855
2025-149187,2025-01-16,000001,Vente,164100,23,,CRS DE QUEBEC,7711,33300,33063,Bordeaux,33,,,33063000TC0097,,,82,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.571658,44.877843
2025-149187,2025-01-16,000001,Vente,164100,21,,CRS DE QUEBEC,7711,33300,33063,Bordeaux,33,,,33063000TC0097,,,163,45.96,,,,,,,,,1,2,Appartement,45,2,,,,,,-0.571658,44.877843
2025-149189,2025-01-09,000001,Vente,140000,22,,RUE DE LA FUSTERIE,3770,33000,33063,Bordeaux,33,,,33063000DO0091,,,3,,,,,,,,,,1,2,Appartement,27,1,,,,,,-0.5656,44.835714
2025-149191,2025-01-16,000001,Vente,207000,30,,ALL HAUSSMANN,4318,33300,33063,Bordeaux,33,,,33063000RM0044,,,260,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.570014,44.86506
2025-149191,2025-01-16,000001,Vente,207000,30,,ALL HAUSSMANN,4318,33300,33063,Bordeaux,33,,,33063000RM0044,,,61,,,,,,,,,,1,2,Appartement,48,2,,,,,,-0.570014,44.86506
2025-149193,2025-01-13,000001,Vente,163000,9,,RUE HANAPPIER,4315,33200,33063,Bordeaux,33,,,33063000MI0390,,,3,41.3,,,,,,,,,1,2,Appartement,40,2,,,,,,-0.599986,44.837864
2025-149197,2025-01-14,000001,Vente,447000,6,,RUE FLECHE,3550,33300,33063,Bordeaux,33,,,33063000RH0333,,,,,,,,,,,,,0,1,Maison,46,3,S,sols,,,44,-0.569373,44.855844
2025-149198,2025-01-16,000001,Vente,255000,122,,RUE HERON,4410,33000,33063,Bordeaux,33,,,33063000HO0104,,,,,,,,,,,,,0,1,Maison,80,3,S,sols,,,143,-0.58937,44.830633
2025-149202,2025-01-06,000001,Vente,255000,12,,RUE DE LA PORTE BASSE,7465,33000,33063,Bordeaux,33,,,33063000HD0043,,,1,50.47,,,,,,,,,1,4,Local industriel. commercial ou assimilé,69,0,,,,,,-0.575154,44.836916
2025-149204,2025-01-07,000001,Vente,38500,6,,RUE DE GUIENNE,4240,33000,33063,Bordeaux,33,,,33063000HD0414,,,7,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,240,0,,,,,,-0.571613,44.835212
2025-149207,2025-01-13,000001,Vente,172000,129,,CRS DU MEDOC,6265,33300,33063,Bordeaux,33,,,33063000RM0128,,,73,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.570407,44.862646
2025-149207,2025-01-13,000001,Vente,172000,129,,CRS DU MEDOC,6265,33300,33063,Bordeaux,33,,,33063000RM0128,,,6,47.34,,,,,,,,,1,2,Appartement,45,2,,,,,,-0.570407,44.862646
2025-149208,2025-01-06,000001,Vente,65000,98,,RUE J RENAUD DANDICOLLE,4680,33000,33063,Bordeaux,33,,,33063000HO0055,,,11,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.58997,44.83095
2025-149208,2025-01-06,000001,Vente,65000,98,,RUE J RENAUD DANDICOLLE,4680,33000,33063,Bordeaux,33,,,33063000HO0055,,,20,31.7,,,,,,,,,1,2,Appartement,30,2,,,,,,-0.58997,44.83095
2025-149210,2025-01-17,000001,Vente,145000,9,,RUE SAINTE ELISABETH,8411,33200,33063,Bordeaux,33,,,33063000YP0105,,,238,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.627774,44.852245
2025-149210,2025-01-17,000001,Vente,145000,9,,RUE SAINTE ELISABETH,8411,33200,33063,Bordeaux,33,,,33063000YP0105,,,615,,644,75.94,,,,,,,2,2,Appartement,71,3,,,,,,-0.627774,44.852245
2025-149210,2025-01-17,000001,Vente,145000,9,,RUE SAINTE ELISABETH,8411,33200,33063,Bordeaux,33,,,33063000YP0105,,,615,,644,75.94,,,,,,,2,3,Dépendance,,0,,,,,,-0.627774,44.852245
2025-149210,2025-01-17,000001,Vente,145000,9,,RUE SAINTE ELISABETH,8411,33200,33063,Bordeaux,33,,,33063000YP0105,,,615,,644,75.94,,,,,,,2,3,Dépendance,,0,,,,,,-0.627774,44.852245
2025-149210,2025-01-17,000001,Vente,145000,9,,RUE SAINTE ELISABETH,8411,33200,33063,Bordeaux,33,,,33063000YP0105,,,615,,644,75.94,,,,,,,2,3,Dépendance,,0,,,,,,-0.627774,44.852245
2025-149213,2025-01-10,000001,Vente,266000,11,,RUE AGEN,0062,33800,33063,Bordeaux,33,,,33063000CV0202,,,,,,,,,,,,,0,1,Maison,64,3,S,sols,,,130,-0.564586,44.820656
2025-149216,2025-01-03,000001,Vente,19000,19,,RUE DES LENDEMAINS,5331,33300,33063,Bordeaux,33,,,33063000TC0117,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.57025,44.87605
2025-149217,2025-01-08,000001,Vente,275000,100,,RUE CHEVALIER,2050,33000,33063,Bordeaux,33,,,33063000LV0224,,,5040,,5115,,,,,,,,2,2,Appartement,96,3,,,,,,-0.594926,44.844835
2025-149217,2025-01-08,000001,Vente,275000,100,,RUE CHEVALIER,2050,33000,33063,Bordeaux,33,,,33063000LV0224,,,5040,,5115,,,,,,,,2,3,Dépendance,,0,,,,,,-0.594926,44.844835
2025-149223,2025-01-07,000001,Vente,180400,33,,ALL HAUSSMANN,4318,33300,33063,Bordeaux,33,,,33063000RM0074,,,227,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.569472,44.863853
2025-149223,2025-01-07,000001,Vente,180400,7,,RUE SAMUEL KIRSZ,8503,33300,33063,Bordeaux,33,,,33063000RM0074,,,34,73.4,,,,,,,,,1,2,Appartement,73,3,,,,,,-0.569472,44.863853
2025-149224,2025-01-14,000001,Vente,320005,2,,RUE BAZEMONT,0715,33800,33063,Bordeaux,33,,,33063000CN0188,,,3,,5,,,,,,,,2,3,Dépendance,,0,,,,,,-0.565942,44.820474
2025-149224,2025-01-14,000001,Vente,320005,2,,RUE BAZEMONT,0715,33800,33063,Bordeaux,33,,,33063000CN0188,,,3,,5,,,,,,,,2,2,Appartement,73,3,,,,,,-0.565942,44.820474
2025-149226,2025-01-08,000001,Vente,454000,53,,RUE D ARCACHON,0345,33000,33063,Bordeaux,33,,,33063000DY0090,,,,,,,,,,,,,0,1,Maison,90,4,S,sols,,,69,-0.584507,44.826345
2025-149231,2025-01-14,000001,Vente,118500,27,,RUE BEAUFLEURY,0725,33800,33063,Bordeaux,33,,,33063000DC0269,,,1,39.21,,,,,,,,,1,2,Appartement,46,3,,,,,,-0.571097,44.829124
2025-149235,2025-01-07,000001,Vente,379800,148,,CRS BALGUERIE STUTTENBERG,0570,33300,33063,Bordeaux,33,,,33063000RP0073,,,,,,,,,,,,,0,1,Maison,95,2,S,sols,,,113,-0.564857,44.85948
2025-149236,2025-01-17,000001,Vente,212050,15,,RUE COIFFARD,2145,33200,33063,Bordeaux,33,,,33063000OC0152,,,32,51.89,,,,,,,,,1,2,Appartement,52,2,,,,,,-0.610685,44.85904
2025-149236,2025-01-17,000001,Vente,212050,13,,RUE COIFFARD,2145,33200,33063,Bordeaux,33,,,33063000OC0152,,,84,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.610685,44.85904
2025-149236,2025-01-17,000001,Vente,212050,13,,RUE COIFFARD,2145,33200,33063,Bordeaux,33,,,33063000OC0152,,,121,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.610685,44.85904
2025-149239,2025-01-08,000001,Vente,83000,70,,RUE DE TURENNE,9115,33000,33063,Bordeaux,33,,,33063000KV0013,,,17,37.43,45,,,,,,,,2,3,Dépendance,,0,,,,,,-0.584376,44.845407
2025-149239,2025-01-08,000001,Vente,83000,70,,RUE DE TURENNE,9115,33000,33063,Bordeaux,33,,,33063000KV0013,,,17,37.43,45,,,,,,,,2,2,Appartement,36,2,,,,,,-0.584376,44.845407
2025-149239,2025-01-08,000001,Vente,83000,70,,RUE DE TURENNE,9115,33000,33063,Bordeaux,33,,,33063000KV0013,,,17,37.43,45,,,,,,,,2,3,Dépendance,,0,,,,,,-0.584376,44.845407
2025-149240,2025-01-07,000001,Vente,38500,6,,RUE DE GUIENNE,4240,33000,33063,Bordeaux,33,,,33063000HD0414,,,8,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,240,0,,,,,,-0.571613,44.835212
2025-149242,2025-01-17,000001,Vente,144700,49,,RUE COMMANDANT CHARCOT CAUD,2206,33200,33063,Bordeaux,33,,,33063000YE0094,,,102,,,,,,,,,,1,2,Appartement,30,1,,,,,,-0.621174,44.864173
2025-149242,2025-01-17,000001,Vente,144700,49,,RUE COMMANDANT CHARCOT CAUD,2206,33200,33063,Bordeaux,33,,,33063000YE0094,,,226,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.621174,44.864173
2025-149243,2025-01-10,000001,Vente,223000,10,,RUE ETCHENIQUE,3260,33200,33063,Bordeaux,33,,,33063000NP0028,,,33,,,,,,,,,,1,2,Appartement,60,3,,,,,,-0.614981,44.844702
2025-149243,2025-01-10,000001,Vente,223000,15,,RUE ANDREE TAMISE,0299,33200,33063,Bordeaux,33,,,33063000NP0028,,,68,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.614981,44.844702
2025-149247,2025-01-09,000001,Vente,85000,218,,CRS DE LA SOMME,8705,33800,33063,Bordeaux,33,,,33063000CS0124,,,5,,,,,,,,,,1,2,Appartement,16,1,,,,,,-0.571872,44.822375
2025-149247,2025-01-09,000001,Vente,85000,218,,CRS DE LA SOMME,8705,33800,33063,Bordeaux,33,,,33063000CS0124,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.571872,44.822375
2025-149249,2025-01-16,000001,Vente,132000,205,,CRS DE L YSER,9500,33800,33063,Bordeaux,33,,,33063000CS0072,,,100,,117,28.9,,,,,,,2,2,Appartement,30,1,,,,,,-0.571604,44.822105
2025-149249,2025-01-16,000001,Vente,132000,205,,CRS DE L YSER,9500,33800,33063,Bordeaux,33,,,33063000CS0072,,,174,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.571604,44.822105
2025-149249,2025-01-16,000001,Vente,132000,205,,CRS DE L YSER,9500,33800,33063,Bordeaux,33,,,33063000CS0072,,,100,,117,28.9,,,,,,,2,3,Dépendance,,0,,,,,,-0.571604,44.822105
2025-149252,2025-01-03,000001,Vente,22000,33,,PL D'ARMAGNAC,0379,33800,33063,Bordeaux,33,,,33063000BZ0188,,,13017,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.551305,44.82108
2025-149253,2025-01-09,000001,Vente,280000,84,,RUE DUCAU,2855,33000,33063,Bordeaux,33,,,33063000PM0092,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.575302,44.853632
2025-149253,2025-01-09,000001,Vente,280000,84,,RUE DUCAU,2855,33000,33063,Bordeaux,33,,,33063000PM0092,,,3,,,,,,,,,,1,2,Appartement,54,2,,,,,,-0.575302,44.853632
2025-149253,2025-01-09,000001,Vente,280000,84,,RUE DUCAU,2855,33000,33063,Bordeaux,33,,,33063000PM0092,,,50,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.575302,44.853632
2025-149261,2025-01-02,000001,Vente,393000,118,,CRS DE VERDUN,9250,33000,33063,Bordeaux,33,,,33063000PL0043,,,4,8.5,5,53,,,,,,,2,3,Dépendance,,0,,,,,,-0.573621,44.851554
2025-149261,2025-01-02,000001,Vente,393000,118,,CRS DE VERDUN,9250,33000,33063,Bordeaux,33,,,33063000PL0043,,,4,8.5,5,53,,,,,,,2,2,Appartement,200,3,,,,,,-0.573621,44.851554
2025-149267,2025-01-20,000001,Vente,577108,77,,RUE DE CAUDERAN,1675,33000,33063,Bordeaux,33,,,33063000LS0185,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.597439,44.846672
2025-149267,2025-01-20,000001,Vente,577108,77,,RUE DE CAUDERAN,1675,33000,33063,Bordeaux,33,,,33063000LS0185,,,28,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.597439,44.846672
2025-149267,2025-01-20,000001,Vente,577108,77,,RUE DE CAUDERAN,1675,33000,33063,Bordeaux,33,,,33063000LS0185,,,48,,,,,,,,,,1,2,Appartement,108,3,,,,,,-0.597439,44.846672
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,2,Appartement,37,3,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,2,Appartement,37,2,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,2,Appartement,36,2,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,66,-0.567419,44.837537
2025-149268,2025-01-20,000001,Vente,320000,15,,RUE DE LA HALLE,4305,33000,33063,Bordeaux,33,,,33063000HE0013,,,,,,,,,,,,,0,2,Appartement,36,2,S,sols,,,66,-0.567419,44.837537
2025-149269,2025-01-17,000001,Vente,217920,35,,CRS EDOUARD VAILLANT,3090,33300,33063,Bordeaux,33,,,33063000RY0029,,,333,61.04,,,,,,,,,1,2,Appartement,60,3,,,,,,-0.558348,44.861262
2025-149269,2025-01-17,000001,Vente,217920,,,RUE BOURBON,1145,33300,33063,Bordeaux,33,,,33063000RY0029,,,127,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.558348,44.861262
2025-149277,2025-01-14,000001,Vente,170000,29,,ALL HAUSSMANN,4318,33300,33063,Bordeaux,33,,,33063000RM0147,,,94,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.570178,44.864369
2025-149277,2025-01-14,000001,Vente,170000,29,,ALL HAUSSMANN,4318,33300,33063,Bordeaux,33,,,33063000RM0147,,,22,,,,,,,,,,1,2,Appartement,44,2,,,,,,-0.570178,44.864369
2025-149279,2025-01-07,000001,Vente,112800,19,,RUE DE CAPEYRON,1526,33200,33063,Bordeaux,33,,,33063000VT0001,,,400,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.623371,44.850947
2025-149279,2025-01-07,000001,Vente,112800,19,,RUE DE CAPEYRON,1526,33200,33063,Bordeaux,33,,,33063000VT0001,,,304,,352,,,,,,,,2,2,Appartement,33,2,,,,,,-0.623371,44.850947
